,iso_dest,imp_entropy_1990,imp_entropy_1995,imp_entropy_2000,imp_entropy_2005,imp_entropy_2010,imp_entropy_2015,imp_entropy_2020,imp_entropy_2024,coverage_M_1990,coverage_M_1995,coverage_M_2000,coverage_M_2005,coverage_M_2010,coverage_M_2015,coverage_M_2020,coverage_M_2024,shannon_entropy,langs,speakers
1,AD,1.224930939,1.195590327,1.168443603,1.106989314,1.047135494,1.054176984,1.054147854,1.054138384,1,1,1,1,1,1,1,1,1.378014544,9,79000
2,AE,1.763005339,1.803273263,1.824978832,1.852420843,1.861586733,1.861587434,1.861591192,1.861591529,1,1,1,1,1,1,1,1,2.218360145,30,9431400
3,AF,0.909348834,1.101318188,1.260994696,1.418288639,1.54923932,1.921885194,1.937658143,1.937655366,1,1,1,1,1,1,1,1,2.052830092,55,39345150
4,AG,0.800959081,0.820907266,0.830481278,0.830680703,0.83053117,0.830580625,0.830576535,0.830589369,0.999642985,0.999587993,0.999604326,0.999590298,0.999615975,0.999602716,0.999654326,0.999666656,0.128970728,2,91700
5,AI,0.666388012,0.666240655,0.666147169,0.665801094,0.66561259,0.665253251,0.664541362,0.66450835,1,1,1,1,1,1,1,1,0.266602225,3,15000
6,AL,1.140531107,1.140527192,1.14051853,1.140510075,1.140522894,1.140504986,1.140455632,1.140460673,1,1,1,1,1,1,1,1,0.437468945,11,1307100
7,AM,0.980874269,0.930193639,0.922032151,0.92432367,0.984457683,0.99536401,0.964566647,0.925501702,1,1,1,1,1,1,1,1,0.901095619,15,4297480
8,AO,1.673215466,1.689528993,1.701224573,1.78090086,1.863449644,2.139395201,2.219249805,2.219238493,1,1,1,1,1,1,1,1,2.493659883,58,25867580
9,AR,0.961075216,0.921042262,0.885942629,0.848010917,0.810324861,0.774977316,0.728771387,0.690604739,1,1,1,1,1,1,1,1,0.632447199,51,44748791
10,AS,0.593509812,0.605040634,0.61482511,0.640939277,0.668104879,0.668068916,0.667762682,0.667786371,1,1,1,1,1,1,1,1,0.584865093,7,43170
11,AT,0.967575061,0.980738234,0.991167187,1.014839314,1.018188281,1.02050817,1.021558287,1.018018102,1,1,1,1,1,1,1,1,1.047497899,43,8928900
12,AU,1.219307502,1.241414287,1.266856414,1.306077443,1.367957719,1.408145827,1.468763435,1.508166146,1,1,1,1,1,1,1,1,1.239295642,242,26239583
13,AW,0.845151324,0.787824649,0.764012212,0.758277526,0.753615999,0.753463706,0.626248062,0.626262941,0.995224795,0.993000737,0.99211808,0.99173965,0.991375107,0.991390306,0.993606336,0.993605093,0.736385486,8,104200
14,AZ,0.947868262,0.932290963,0.930575358,0.94332309,0.939588791,0.936968713,0.934251723,0.932021265,1,1,1,1,1,1,1,1,0.868508759,36,9571160
15,BA,0.697537655,0.693479,0.690766418,0.70754243,0.743916683,0.743885009,0.743608051,0.743583379,1,1,1,1,1,1,1,1,1.104417679,12,3171500
16,BB,0.783328701,0.783300814,0.783424347,0.842926213,0.911529974,0.911633792,0.911700117,0.911609302,1,1,1,1,1,1,1,1,0.7470541,4,535600
17,BD,1.928612586,1.962298165,1.991368179,1.999465101,1.99606096,1.994116709,1.991198498,1.991198711,1,1,1,1,1,1,1,1,0.572209528,48,176580325
18,BE,1.365787433,1.355160524,1.34662624,1.343390631,1.313717667,1.290807793,1.279063575,1.25982235,1,1,1,1,1,1,1,1,2.187993122,78,7430900
19,BF,3.084091164,3.056831748,3.110528093,3.129794704,3.129794218,3.129794592,3.135476847,3.13547641,1,1,1,1,1,1,1,1,2.396545543,79,15991630
20,BG,0.972740803,0.95856013,0.95163013,0.999057668,1.000501499,1.088169059,1.075146241,1.039233954,1,1,1,1,1,1,1,1,0.59841257,24,6813500
21,BH,1.765125468,1.801669835,1.828430791,1.855204825,1.864951513,1.864955506,1.864962097,1.86495881,1,1,1,1,1,1,1,1,1.751071945,14,1399570
22,BI,0.781601898,0.91906286,1.254911039,1.814835958,2.072897732,2.082940279,2.07196486,2.071962899,1,1,1,1,1,1,1,1,0.079865931,10,10543400
23,BJ,2.380138916,2.380154317,2.38018422,2.561668183,2.605913292,2.647694451,2.647697325,2.647696613,1,1,1,1,1,1,1,1,3.261102206,61,12283440
24,BM,1.134994544,1.137743464,1.12048816,1.18526736,1.255825777,1.255296833,1.276116381,1.276031079,1,1,1,1,1,1,1,1,0.234273661,3,62400
25,BN,2.244315025,2.220747617,2.202916907,2.202920697,2.202918773,2.20291693,2.203178534,2.20315106,1,1,1,1,1,1,1,1,1.926823348,22,398835
26,BO,0.700388646,0.688529751,0.679440984,0.690436534,0.69927572,0.699792759,0.685492025,0.685484303,0.999821198,0.999793849,0.999639159,0.999839157,0.999849824,0.999849645,0.999868905,0.999871396,0.998241141,43,11363915
27,BR,0.74628708,0.781667605,0.78543005,0.811209482,0.837345492,0.898836349,0.719902851,0.571835452,1,1,1,1,1,1,1,1,0.214633443,184,213504460
28,BS,0.596927232,0.538256223,0.496632366,0.552350678,0.589962365,0.589971318,0.588724568,0.58876982,1,1,1,1,1,1,1,1,0.880438442,5,408200
29,BT,2.398883012,2.398800456,2.398702923,2.398749402,2.398779147,2.398714588,2.399509822,2.399572304,1,1,1,1,1,1,1,1,2.223980266,37,755900
30,BW,1.877047043,1.98336857,2.040008723,1.924730761,1.827579252,1.827630814,1.827709239,1.827700779,1,1,1,1,1,1,1,1,1.318190523,37,2561190
31,BY,0.925687512,0.925874136,0.926083985,0.925978369,0.925872275,0.926085234,0.926074188,0.926073463,1,1,1,1,1,1,1,1,0.907881685,25,4751000
32,BZ,0.817908978,0.82317396,0.827578076,0.841444804,0.859395136,0.859352937,0.859343609,0.859338403,1,1,1,1,1,1,1,1,1.442054696,11,382400
33,CA,1.163641183,1.190630201,1.225047463,1.259885023,1.304311905,1.347072079,1.399537597,1.443602328,1,1,1,1,1,1,1,1,2.129355233,240,37944326
34,CD,2.454895236,0.932854215,2.188141268,2.050312759,1.659394027,1.972242671,2.202349056,2.202347839,1,1,1,1,1,1,1,1,2.443569404,185,81398107
35,CF,1.832678093,1.886528803,1.921600765,1.921527718,1.921502151,1.921625665,1.966652894,1.966667695,1,1,1,1,1,1,1,1,3.583716564,82,4225403
36,CG,2.508363546,2.462144792,2.44339897,2.458565071,2.441424619,2.440494837,2.440523103,2.440519412,1,1,1,1,1,1,1,1,3.862535853,242,94424540
37,CH,1.239309789,1.222677784,1.206450911,1.190284381,1.175577388,1.156884392,1.155849215,1.145613758,1,1,1,1,1,1,1,1,1.747769428,45,8710000
38,CI,2.470740029,2.472931287,2.472975425,2.469337024,2.466145663,2.463322861,2.460809141,2.458987522,1,1,1,1,1,1,1,1,3.235666397,103,23099010
39,CK,1.316293277,1.316782918,1.316541231,1.31725266,1.317990602,1.388860938,1.388821769,1.388424935,1,1,1,1,1,1,1,1,0.73701174,6,14820
40,CL,0.935384797,0.896463928,0.86485639,0.843713981,0.824043907,0.718639855,0.505015912,0.51719031,1,1,1,1,1,1,1,1,0.195944532,21,18132412
41,CM,3.187525458,3.187521262,3.187528421,3.048818345,3.215426776,3.292811564,3.274549736,3.274550249,1,1,1,1,1,1,1,1,3.981443316,289,19284605
42,CN,1.118475941,1.112631941,1.109162416,1.109232725,1.110868524,1.164581442,1.281476602,1.27899809,1,1,1,1,1,1,1,1,1.477746343,317,1359104410
43,CO,0.633123271,0.65136212,0.671504268,0.692807095,0.726140584,0.756441029,0.299615602,0.287460016,1,1,1,1,1,1,1,1,0.111543381,90,51124863
44,CR,0.311398425,0.306193589,0.302545043,0.249386421,0.294287574,0.293874343,0.291836758,0.291844799,1,1,1,1,1,1,1,1,0.226848286,14,5146540
45,CU,0.979063571,0.978910545,0.973563371,0.98973699,0.997412429,1.005471605,1.019339409,1.016194069,1,1,1,1,1,1,1,1,0.121422139,12,11086500
46,CV,1.456860313,1.523646614,1.568243126,1.674878197,1.763207468,1.763233125,1.764814296,1.764835998,1,1,1,1,1,1,1,1,0.811972618,5,579500
47,CW,0.833733354,0.833733354,0.833733354,0.833733354,0.911873653,0.911885233,0.736905979,0.736890722,0.943583239,0.943583239,0.943583239,0.943583239,0.937073585,0.936998947,0.951849428,0.951852789,1.142057609,10,188800
48,CY,1.096099607,1.096195029,1.096139773,1.10108871,1.087251665,1.091752382,1.120571595,1.120557544,1,1,1,1,1,1,1,1,1.239996707,23,1222500
49,CZ,0.609681032,0.621572784,0.680141075,0.722624364,0.773144345,0.788872976,0.804948504,0.82509698,1,1,1,1,1,1,1,1,0.287337497,33,10376800
50,DE,0.811349739,0.823522011,0.841659117,0.847386657,0.839727379,0.839589968,0.893199194,0.915610111,1,1,1,1,1,1,1,1,1.597584194,94,88709870
51,DJ,1.045269434,1.045272575,1.045271522,1.045287,1.045285849,1.063051421,1.059529232,1.059523949,1,1,1,1,1,1,1,1,1.255108332,10,1095800
52,DK,1.10209218,1.107539573,1.139589016,1.179507819,1.169596268,1.15044361,1.143433995,1.133974742,1,1,1,1,1,1,1,1,0.877303593,67,5832700
53,DM,0.597848175,0.5993806,0.59924789,0.599254242,0.460033159,0.528227134,0.523343823,0.523623815,1,1,1,1,1,1,1,1,0.665694506,5,70000
54,DO,0.343198647,0.343267946,0.343206656,0.287984498,0.237333652,0.178143449,0.182096224,0.191253666,1,1,1,1,1,1,1,1,0.349640156,9,11305500
55,DZ,0.965306331,0.96357155,0.961466835,0.961471417,0.96138333,0.96622075,0.967784411,0.967783882,0.350773133,0.332932327,0.31381056,0.313803657,0.313768903,0.323554558,0.327081191,0.327079489,0.8224115,27,43459900
56,EC,0.520679595,0.526524233,0.530729497,0.504574577,0.361801441,0.381743428,0.31408236,0.32052684,1,1,1,1,1,1,1,1,0.439831057,27,17677260
57,EE,0.919311779,0.919392494,0.919500379,0.92092933,0.925727156,0.932351234,0.952993459,0.952968545,1,1,1,1,1,1,1,1,1.07636561,19,1338540
58,EG,1.277373581,1.248361405,1.245518413,1.008639335,1.043756693,0.981529916,1.185766295,1.173632754,1,1,1,1,1,1,1,1,1.135002545,35,105534400
59,EH,1.923547265,1.923924578,1.923657878,1.923734306,1.923965196,1.924255551,1.924911255,1.924892032,1,1,1,1,1,1,1,1,NA,NA,NA
60,ER,2.136718232,2.017641053,1.904239638,1.871172221,1.777948058,1.993589201,1.99555236,1.995371371,1,1,1,1,1,1,1,1,1.653915965,16,3714800
61,ES,1.0314732,0.95318264,0.868918427,0.826355365,0.815167891,0.824359077,0.803103521,0.778886104,1,1,1,1,1,1,1,1,1.365507231,72,44660700
62,ET,1.871443657,1.317457501,1.539008281,2.195828596,1.555446887,1.908331332,2.107319233,1.940712295,1,1,1,1,1,1,1,1,2.508391101,101,108367140
