country_code,country,ISO6393,language,population,source
AF,Afghanistan,aiq,Aimaq ,123456,Ethnologue
AF,Afghanistan,abh,"Arabic, Tajiki Spoken ",234567,Ethnologue
AF,Afghanistan,azb,"Azerbaijani, South ",345678,Ethnologue
AF,Afghanistan,brh,Brahui,350000,Joshua Project
AF,Afghanistan,prs,Dari,12049200,Joshua Project
AF,Afghanistan,gju,Gujari,20000,Joshua Project
AF,Afghanistan,kaa,Karakalpak,3500,Joshua Project
AF,Afghanistan,kaz,Kazakh,3500,Joshua Project
AF,Afghanistan,kir,Kyrgyz,1400,Joshua Project
AF,Afghanistan,paq,Parya,400,Joshua Project
AF,Afghanistan,pbu,"Pashto, Northern",7295700,Joshua Project
AF,Afghanistan,pbt,"Pashto, Southern",6685700,Joshua Project
AF,Afghanistan,pes,"Persian, Iranian",719000,Joshua Project
AF,Afghanistan,tuk,Turkmen,2356000,Joshua Project
AF,Afghanistan,urd,Urdu,16900,Joshua Project
AF,Afghanistan,azj,"Azerbaijani, North",14000,Joshua Project
AF,Afghanistan,rmt,Domari,2000,Joshua Project
AF,Afghanistan,eng,English,500,Joshua Project
AF,Afghanistan,gwc,Gawri,2100,Joshua Project
AF,Afghanistan,khw,Khowar,11000,Joshua Project
AF,Afghanistan,mvy,"Kohistani, Indus",51000,Joshua Project
AF,Afghanistan,xvi,Komviri,24000,Joshua Project
AF,Afghanistan,ckb,"Kurdish, Central",4300,Joshua Project
AF,Afghanistan,pan,"Punjabi, Eastern",13000,Joshua Project
AF,Afghanistan,pnb,"Punjabi, Western",40000,Joshua Project
AF,Afghanistan,rus,Russian,1000,Joshua Project
AF,Afghanistan,skr,Saraiki,1700,Joshua Project
AF,Afghanistan,snd,Sindhi,26000,Joshua Project
AF,Afghanistan,tur,Turkish,12000,Joshua Project
AF,Afghanistan,uig,Uyghur,3700,Joshua Project
AL,Albania,als,"Albanian, Tosk",2900,Joshua Project
AL,Albania,rup,Aromanian,7100,Joshua Project
AL,Albania,ell,Greek,27000,Joshua Project
AL,Albania,mkd,Macedonian,5300,Joshua Project
AL,Albania,srp,Serbian,36600,Joshua Project
AL,Albania,tur,Turkish,1700,Joshua Project
AL,Albania,eng,English,8900,Joshua Project
AL,Albania,ita,Italian,7500,Joshua Project
AL,Albania,rmy,"Romani, Vlax",7100,Joshua Project
DZ,Algeria,asp,Algerian Sign Language,228000,Joshua Project
DZ,Algeria,arq,"Arabic, Algerian Spoken",33479200,Joshua Project
DZ,Algeria,ary,"Arabic, Moroccan Spoken",188000,Joshua Project
DZ,Algeria,mey,Hassaniyya,225000,Joshua Project
DZ,Algeria,shy,Tachawit,2393000,Joshua Project
DZ,Algeria,shi,Tachelhit,6700,Joshua Project
DZ,Algeria,rif,Tarifit,500,Joshua Project
DZ,Algeria,arz,"Arabic, Egyptian",19000,Joshua Project
DZ,Algeria,acm,"Arabic, Mesopotamian",4800,Joshua Project
DZ,Algeria,cmn,"Chinese, Mandarin",37000,Joshua Project
DZ,Algeria,eng,English,800,Joshua Project
DZ,Algeria,fra,French,14000,Joshua Project
DZ,Algeria,hau,Hausa,12000,Joshua Project
DZ,Algeria,spa,Spanish,700,Joshua Project
DZ,Algeria,tur,Turkish,3600,Joshua Project
AS,American Samoa,smo,Samoan,37000,Joshua Project
AS,American Samoa,eng,English,3800,Joshua Project
AS,American Samoa,jpn,Japanese,800,Joshua Project
AS,American Samoa,kor,Korean,400,Joshua Project
AS,American Samoa,tgl,Tagalog,500,Joshua Project
AS,American Samoa,tkl,Tokelauan,70,Joshua Project
AS,American Samoa,ton,Tongan,600,Joshua Project
AD,Andorra,cat,Catalan,35000,Joshua Project
AD,Andorra,fra,French,4600,Joshua Project
AD,Andorra,por,Portuguese,12000,Joshua Project
AD,Andorra,spa,Spanish,24000,Joshua Project
AD,Andorra,ary,"Arabic, Moroccan",600,Joshua Project
AD,Andorra,eng,English,1000,Joshua Project
AD,Andorra,deu,"German, Standard",600,Joshua Project
AD,Andorra,hin,Hindi,600,Joshua Project
AD,Andorra,ita,Italian,600,Joshua Project
AO,Angola,diu,Gciriku,27000,Joshua Project
AO,Angola,blv,Kibala,5700,Joshua Project
AO,Angola,kwy,"Kongo, San Salvador",22000,Joshua Project
AO,Angola,kng,Koongo,3822000,Joshua Project
AO,Angola,knw,Kung-Ekoka,8300,Joshua Project
AO,Angola,ldi,Laari,5800,Joshua Project
AO,Angola,lun,Lunda,415000,Joshua Project
AO,Angola,mho,Mashi,5500,Joshua Project
AO,Angola,mhw,Mbukushu,16000,Joshua Project
AO,Angola,ndo,Ndonga,44000,Joshua Project
AO,Angola,khu,Nkumbi,784000,Joshua Project
AO,Angola,umb,Umbundu,8311000,Joshua Project
AO,Angola,afr,Afrikaans,2400,Joshua Project
AO,Angola,cmn,"Chinese, Mandarin",56000,Joshua Project
AO,Angola,eng,English,28300,Joshua Project
AO,Angola,fra,French,8300,Joshua Project
AO,Angola,hgm,Haiom,1800,Joshua Project
AO,Angola,her,Herero,27000,Joshua Project
AO,Angola,ktz,Ju'Hoan,11000,Joshua Project
AO,Angola,kea,Kabuverdianu,86000,Joshua Project
AO,Angola,xuu,Khwedam,300,Joshua Project
AO,Angola,yom,Kiyombe,88000,Joshua Project
AO,Angola,xdo,Kwandu,8800,Joshua Project
AO,Angola,lin,Lingala,159000,Joshua Project
AO,Angola,loz,Lozi,9600,Joshua Project
AO,Angola,por,Portuguese,2252000,Joshua Project
AO,Angola,sie,Simaa,4100,Joshua Project
AO,Angola,nsx,Songo (Angola),245000,Joshua Project
AO,Angola,spa,Spanish,16000,Joshua Project
AO,Angola,sub,Suku,41000,Joshua Project
AO,Angola,yaf,Yaka (Democratic Republic Of The Congo),547000,Joshua Project
AO,Angola,yax,Yauma,47000,Joshua Project
AI,Anguilla,aig,Leeward Caribbean English Creole,14000,Joshua Project
AI,Anguilla,eng,English,900,Joshua Project
AI,Anguilla,hin,Hindi,100,Joshua Project
AG,Antigua and Barbuda,aig,Leeward Caribbean English Creole,2600,Joshua Project
AG,Antigua and Barbuda,eng,English,89100,Joshua Project
AR,Argentina,ayr,"Aymara, Central",4500,Joshua Project
AR,Argentina,wlv,Bermejo Wichí,47000,Joshua Project
AR,Argentina,nhd,"Guaraní, Ava",24000,Joshua Project
AR,Argentina,gui,"Guaraní, Eastern Bolivian",28900,Joshua Project
AR,Argentina,gun,"Guaraní, Mbyá",9200,Joshua Project
AR,Argentina,kgk,Kaiwá,600,Joshua Project
AR,Argentina,tpj,Ñandeva,600,Joshua Project
AR,Argentina,cag,Nivaclé,1200,Joshua Project
AR,Argentina,plg,Pilagá,5800,Joshua Project
AR,Argentina,mzh,Pilcomayo Wichí,26000,Joshua Project
AR,Argentina,por,Portuguese,59000,Joshua Project
AR,Argentina,quh,"Quechua, South Bolivian",85100,Joshua Project
AR,Argentina,spa,Spanish,39600800,Joshua Project
AR,Argentina,mtp,Weenhayek,47000,Joshua Project
AR,Argentina,apc,"Arabic, Levantine",1502200,Joshua Project
AR,Argentina,hyw,"Armenian, Western",152000,Joshua Project
AR,Argentina,bel,Belarusian,4000,Joshua Project
AR,Argentina,cat,Catalan,202000,Joshua Project
AR,Argentina,cmn,"Chinese, Mandarin",78000,Joshua Project
AR,Argentina,hrv,Croatian,4300,Joshua Project
AR,Argentina,ces,Czech,8200,Joshua Project
AR,Argentina,eng,English,9600,Joshua Project
AR,Argentina,fra,French,17000,Joshua Project
AR,Argentina,glg,Galician,771000,Joshua Project
AR,Argentina,deu,"German, Standard",43000,Joshua Project
AR,Argentina,ell,Greek,42000,Joshua Project
AR,Argentina,ita,Italian,1143000,Joshua Project
AR,Argentina,jpn,Japanese,38000,Joshua Project
AR,Argentina,kea,Kabuverdianu,15000,Joshua Project
AR,Argentina,kor,Korean,33000,Joshua Project
AR,Argentina,lao,Lao,2000,Joshua Project
AR,Argentina,pdt,Plautdietsch,4200,Joshua Project
AR,Argentina,pol,Polish,202000,Joshua Project
AR,Argentina,rmy,"Romani, Vlax",60000,Joshua Project
AR,Argentina,ron,Romanian,17000,Joshua Project
AR,Argentina,rus,Russian,32000,Joshua Project
AR,Argentina,srp,Serbian,6500,Joshua Project
AR,Argentina,slk,Slovak,9400,Joshua Project
AR,Argentina,slv,Slovene,12000,Joshua Project
AR,Argentina,tur,Turkish,800,Joshua Project
AR,Argentina,ukr,Ukrainian,32000,Joshua Project
AR,Argentina,cym,Welsh,5000,Joshua Project
AM,Armenia,hye,Armenian,2505000,Joshua Project
AM,Armenia,azj,"Azerbaijani, North",14000,Joshua Project
AM,Armenia,kat,Georgian,600,Joshua Project
AM,Armenia,kmr,"Kurdish, Northern",35000,Joshua Project
AM,Armenia,rmi,Lomavren,50,Joshua Project
